,Text ID,Sentiment Score,Title,GPE
0,8476,-0.4939,You Can Smell Hillary’s Fear,Tehran
1,10294,-0.5267,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),USA
2,10142,-0.3595,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',UK
3,6903,0.0,"Tehran, USA",Russia
4,7341,-0.5423,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,Detroit
5,7041,0.296,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",Russia
6,7623,-0.5994,10 Ways America Is Preparing for World War 3,USA
7,7737,-0.7088,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,Russia
8,8716,0.1111,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,Russia
9,10348,0.4019,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,US
10,6155,0.0,‘Inferno’ and the Overpopulation Myth,New Eastern Outlook
11,5743,-0.6705,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",Iowa
12,7808,0.4767,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],Russia
13,6484,0.4404,Why It’s Necessary To Relax Into A Stretch,Britain
14,7385,0.4404,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",Syria
15,9016,-0.593,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",Russia
16,9324,0.5267,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,Washington DC
17,8983,0.0,First Ever Hindu Woman Elected into Congress,Mosul
18,8965,0.0,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,Syria
19,5580,-0.5423,Ex-Assistant FBI Director: Clintons Are a Crime Family,US
20,9757,-0.3182,Hillary Wants Aggressively Interventionist Foreign Policy,EU
21,5955,0.0,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,China
22,7455,0.0772,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,America
23,7793,-0.296,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,Islamabad
24,9403,-0.3182,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,North Carolina
25,5931,-0.7096,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,Russia
26,5937,-0.6369,"3 Effects of Substance Abuse on Individual, Family and Community",America
27,7277,0.0,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,Russia
28,5521,0.0,New Comment Features have been Added,Iraq
29,9360,0.0,Ying and Yang (the Gold and Silver Set-Up),USA
30,6646,-0.6249,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,Russia
31,7540,0.0,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,U.S.
32,8212,0.5574,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,Iran
33,6197,0.0,Is google and YouTube in the Hillary's purse?,Vagina
34,6061,0.3182,Truth Will Out Radio: The Laconia Incident,Israel
35,9545,0.0,Should I Get Botox?,UK
36,7744,0.0,Lavrov and Kerry discuss Syrian settlement,UK
37,8177,0.0,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,US
38,7049,0.0,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,America
39,7801,0.0,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,Wrong Direction
40,10232,-0.296,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],LA
41,8290,-0.0258,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",Philly
42,6227,0.0,CNN: One voter can make a difference by voting repeatedly,Portland
43,5316,0.4215,Newly Approved GM Potatoes Have Potential to Silence Human Genes,Hollywood
44,5530,0.0,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",Mosul
45,7680,-0.4404,Nuclear weapons question,Oregon
46,10490,0.8176,Kevin MacDonald celebrates Trump’s Amazing Victory,Washington
47,9413,0.743,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",US
48,8685,-0.1779,Glorifying Violence,Russia
49,6763,-0.3612,Russia may run out of patience and respond to USA's rudeness,Alabama
50,7730,0.2263,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,Texas
51,7362,0.5106,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,Syria
52,7513,0.0,"Geo-Engineering Unlikely to Work, Conservation Group Says",Russia
53,6247,-0.3182,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,U.S.
54,6025,-0.5994,“We Were Long Overdue A Presidential Assassination Anyway”,Maryland
55,10122,-0.9018,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",Undemocratic
