,Text ID,Sentiment Score,Title,GPE
0,3608,0.3612,Kerry to go to Paris in gesture of sympathy,Paris
1,875,-0.3612,The Battle of New York: Why This Primary Matters,Britain
2,95,0.0,‘Britain’s Schindler’ Dies at 106,Iran
3,4869,0.0,Fact check: Trump and Clinton at the 'commander-in-chief' forum,Iowa
4,2909,0.0,Iran reportedly makes new push for uranium concessions in nuclear talks,Iran
5,1357,-0.34,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",America
6,988,-0.7717,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,W. Va.
7,1571,0.0,"Trump takes on Cruz, but lightly",Afghanistan
8,4739,0.0,How women lead differently,Orlando
9,3304,-0.2755,What's in that Iran bill that Obama doesn't like?,South Carolina
10,3078,0.0,The 1 chart that explains everything you need to know about partisanship in America,Selma
11,2517,-0.5574,The slippery slope to Trump’s proposed ban on Muslims,America
12,778,0.0,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,Iraq
13,3300,-0.4939,New Senate majority leader’s main goal for GOP: Don’t be scary,Belgium
14,636,0.0,Anti-Trump forces seek last-ditch delegate revolt,San Francisco
15,755,0.0,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,US
16,626,0.4973,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,Rubio
17,691,-0.6808,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),Kasich
18,1787,-0.4215,GOP insiders: Carly crushed it,Syria
19,1967,0.4588,Both parties want to craft populist messages for 2016,US
20,431,0.0,First Take: Wall Street bids goodbye to June hike,Iran
21,5224,-0.4215,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",US
22,2777,-0.128,Obama makes the right call to tough it out in Afghanistan,Iran
23,587,-0.4767,Senate race rankings: Dems attack as GOP lays swing-state groundwork,Charleston
24,3027,0.1027,American politics has reached peak polarization,Connecticut
25,4377,0.5106,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),Iran
26,3627,-0.4767,World's newspapers react to 'Hebdo' attack,Ohio
27,909,0.0,"Closed primaries, 'warped' democracy?",Iraq
28,1522,-0.6361,Donald Trump: Hillary Clinton has 'caused tremendous death',Anbar
29,1834,-0.0258,Biden makes another surprise political stop,Iran
30,1775,0.0,"Hillary Clinton's declining favorability numbers, in context",US
31,3363,-0.5267,Hillary Clinton: The criminal investigation keeps moving forward,Israel
32,1084,0.0,Rubio’s parting shot at Trump,US
